LF1,LF2,Synonym
α,alpha,Y
β,beta,Y
γ,gamma,Y
δ,delta,Y
ε,epsilon,Y
ζ,zeta,Y
η,eta,Y
θ,theta,Y
ι,iota,Y
κ,kappa,Y
λ,lambda,Y
μ,mu,Y
ν,nu,Y
ξ,xi,Y
ο,omicron,Y
π,pi,Y
ρ,rho,Y
σ,sigma,Y
ς,sigma,Y
τ,tau,Y
υ,upsilon,Y
φ,phi,Y
χ,chi,Y
ψ,psi,Y
ω,omega,Y
Α,alpha,Y
Β,beta,Y
Γ,gamma,Y
Δ,delta,Y
Ε,epsilon,Y
Ζ,zeta,Y
Η,eta,Y
Θ,theta,Y
Ι,iota,Y
Κ,kappa,Y
Λ,lambda,Y
Μ,mu,Y
Ν,nu,Y
Ξ,xi,Y
Ο,omicron,Y
Π,pi,Y
Ρ,rho,Y
Σ,sigma,Y
Τ,tau,Y
Υ,upsilon,Y
Φ,phi,Y
Χ,chi,Y
Ψ,psi,Y
Ω,omega,Y
H+,hydrogen,Y
Li+,lithium,Y
Na+,sodium,Y
K+,potassium,Y
Rb+,rubidium,Y
Cs+,cesium,Y
Be2+,beryllium,Y
Mg2+,magnesium,Y
Ca2+,calcium,Y
Sr2+,strontium,Y
Ba2+,barium,Y
Al3+,aluminum,Y
Ga3+,gallium,Y
In3+,indium,Y
Ag+,silver,Y
Zn2+,zinc,Y
Fe3+,iron(III),Y
Fe2+,iron(II),Y
Cu2+,copper(II),Y
Cu+,copper(I),Y
Cr3+,chromium(III),Y
Ni2+,nickel(II),Y
Pb4+,lead(IV),Y
Pb2+,lead(II),Y
Hg2+,mercury(II),Y
NH4+,ammonium,Y
NO2,nitrite,Y
NO3,nitrate,Y
SO32,sulfite,Y
SO42,sulfate,Y
OH,hydroxide,Y
PO43,phosphate,Y
CO32,carbonate,Y
ClO3,chlorate,Y
C2H3O2,acetate,Y
F,fluoride,Y
Cl,chloride,Y
Br,bromide,Y
I,iodide,Y
O2,oxide,Y
S2,sulfide,Y
Se2,selenide,Y
Te2,telluride,Y
N3,nitride,Y
P3,phosphide,Y
As3,arsenide,Y
