LF1|LF2|Synonym
0|zero|Y
1|one|Y
2|two|Y
3|three|Y
4|four|Y
5|five|Y
6|six|Y
7|seven|Y
8|eight|Y
9|nine|Y
10|ten|Y
11|eleven|Y
12|twelve|Y
13|thirteen|Y
14|fourteen|Y
15|fifteen|Y
16|sixteen|Y
17|seventeen|Y
18|eighteen|Y
19|nineteen|Y
20|twenty|Y
21|twenty-one|Y
22|twenty-two|Y
23|twenty-three|Y
24|twenty-four|Y
25|twenty-five|Y
26|twenty-six|Y
27|twenty-seven|Y
28|twenty-eight|Y
29|twenty-nine|Y
30|thirty|Y
31|thirty-one|Y
32|thirty-two|Y
33|thirty-three|Y
34|thirty-four|Y
35|thirty-five|Y
36|thirty-six|Y
37|thirty-seven|Y
38|thirty-eight|Y
39|thirty-nine|Y
40|forty|Y
41|forty-one|Y
42|forty-two|Y
43|forty-three|Y
44|forty-four|Y
45|forty-five|Y
46|forty-six|Y
47|forty-seven|Y
48|forty-eight|Y
49|forty-nine|Y
50|fifty|Y
51|fifty-one|Y
52|fifty-two|Y
53|fifty-three|Y
54|fifty-four|Y
55|fifty-five|Y
56|fifty-six|Y
57|fifty-seven|Y
58|fifty-eight|Y
59|fifty-nine|Y
60|sixty|Y
61|sixty-one|Y
62|sixty-two|Y
63|sixty-three|Y
64|sixty-four|Y
65|sixty-five|Y
66|sixty-six|Y
67|sixty-seven|Y
68|sixty-eight|Y
69|sixty-nine|Y
70|seventy|Y
71|seventy-one|Y
72|seventy-two|Y
73|seventy-three|Y
74|seventy-four|Y
75|seventy-five|Y
76|seventy-six|Y
77|seventy-seven|Y
78|seventy-eight|Y
79|seventy-nine|Y
80|eighty|Y
81|eighty-one|Y
82|eighty-two|Y
83|eighty-three|Y
84|eighty-four|Y
85|eighty-five|Y
86|eighty-six|Y
87|eighty-seven|Y
88|eighty-eight|Y
89|eighty-nine|Y
90|ninety|Y
91|ninety-one|Y
92|ninety-two|Y
93|ninety-three|Y
94|ninety-four|Y
95|ninety-five|Y
96|ninety-six|Y
97|ninety-seven|Y
98|ninety-eight|Y
99|ninety-nine|Y
100|one hundred|Y
200|two hundred|Y
300|three hundred|Y
400|four hundred|Y
500|five hundred|Y
600|six hundred|Y
700|seven hundred|Y
800|eight hundred|Y
900|nine hundred|Y
1000|one thousand|Y
10000|ten thousand|Y
100000|one hundred thousand|Y
1000000|one million|Y
1|I|Y
5|V|Y
10|X|Y
50|L|Y
100|C|Y
500|D|Y
1000|M|Y
1|I|Y
2|II|Y
3|III|Y
4|IV|Y
5|V|Y
6|VI|Y
7|VII|Y
8|VIII|Y
9|IX|Y
10|X|Y
11|XI|Y
12|XII|Y
13|XIII|Y
14|XIV|Y
15|XV|Y
16|XVI|Y
17|XVII|Y
18|XVIII|Y
19|XIX|Y
20|XX|Y
21|XXI|Y
22|XXII|Y
23|XXIII|Y
24|XXIV|Y
25|XXV|Y
26|XXVI|Y
27|XXVII|Y
28|XXVIII|Y
29|XXIX|Y
30|XXX|Y
one|I|Y
five|V|Y
ten|X|Y
fifty|L|Y
one hundred|C|Y
five hundred|D|Y
one thousand|M|Y
one|I|Y
two|II|Y
three|III|Y
four|IV|Y
five|V|Y
six|VI|Y
seven|VII|Y
eight|VIII|Y
nine|IX|Y
ten|X|Y
eleven|XI|Y
twelve|XII|Y
thirteen|XIII|Y
fourteen|XIV|Y
fifteen|XV|Y
sixteen|XVI|Y
seventeen|XVII|Y
eighteen|XVIII|Y
nineteen|XIX|Y
twenty|XX|Y
twenty-one|XXI|Y
twenty-two|XXII|Y
twenty-three|XXIII|Y
twenty-four|XXIV|Y
twenty-five|XXV|Y
twenty-six|XXVI|Y
twenty-seven|XXVII|Y
twenty-eight|XXVIII|Y
twenty-nine|XXIX|Y
thirty|XXX|Y
α|alpha|Y
β|beta|Y
γ|gamma|Y
δ|delta|Y
ε|epsilon|Y
ζ|zeta|Y
η|eta|Y
θ|theta|Y
ι|iota|Y
κ|kappa|Y
λ|lambda|Y
μ|mu|Y
ν|nu|Y
ξ|xi|Y
ο|omicron|Y
π|pi|Y
ρ|rho|Y
σ|sigma|Y
ς|sigma|Y
τ|tau|Y
υ|upsilon|Y
φ|phi|Y
χ|chi|Y
ψ|psi|Y
ω|omega|Y
Α|alpha|Y
Β|beta|Y
Γ|gamma|Y
Δ|delta|Y
Ε|epsilon|Y
Ζ|zeta|Y
Η|eta|Y
Θ|theta|Y
Ι|iota|Y
Κ|kappa|Y
Λ|lambda|Y
Μ|mu|Y
Ν|nu|Y
Ξ|xi|Y
Ο|omicron|Y
Π|pi|Y
Ρ|rho|Y
Σ|sigma|Y
Τ|tau|Y
Υ|upsilon|Y
Φ|phi|Y
Χ|chi|Y
Ψ|psi|Y
Ω|omega|Y
H+|hydrogen|Y
Li+|lithium|Y
Na+|sodium|Y
K+|potassium|Y
Rb+|rubidium|Y
Cs+|cesium|Y
Be2+|beryllium|Y
Mg2+|magnesium|Y
Ca2+|calcium|Y
Sr2+|strontium|Y
Ba2+|barium|Y
Al3+|aluminum|Y
Ga3+|gallium|Y
In3+|indium|Y
Ag+|silver|Y
Zn2+|zinc|Y
Fe3+|iron(III)|Y
Fe2+|iron(II)|Y
Cu2+|copper(II)|Y
Cu+|copper(I)|Y
Cr3+|chromium(III)|Y
Ni2+|nickel(II)|Y
Pb4+|lead(IV)|Y
Pb2+|lead(II)|Y
Hg2+|mercury(II)|Y
NH4+|ammonium|Y
NO2-|nitrite|Y
NO3-|nitrate|Y
SO32-|sulfite|Y
SO42-|sulfate|Y
OH-|hydroxide|Y
PO43-|phosphate|Y
CO32-|carbonate|Y
ClO3-|chlorate|Y
C2H3O2-|acetate|Y
F-|fluoride|Y
Cl-|chloride|Y
Br-|bromide|Y
I-|iodide|Y
O2-|oxide|Y
S2-|sulfide|Y
Se2-|selenide|Y
Te2-|telluride|Y
N3-|nitride|Y
P3-|phosphide|Y
As3-|arsenide|Y
α|Α|Y
β|Β|Y
γ|Γ|Y
δ|Δ|Y
ε|Ε|Y
ζ|Ζ|Y
η|Η|Y
θ|Θ|Y
ι|Ι|Y
κ|Κ|Y
λ|Λ|Y
μ|Μ|Y
ν|Ν|Y
ξ|Ξ|Y
ο|Ο|Y
π|Π|Y
ρ|Ρ|Y
σ|Σ|Y
ς|Σ|Y
τ|Τ|Y
υ|Υ|Y
φ|Φ|Y
χ|Χ|Y
ψ|Ψ|Y
ω|Ω|Y
scope|scopy|Y
meter|metry|Y
gram|graph|Y
gram|graphy|Y
antigen|antibody|N
neuralgia|nerve|N
bovine|cow|Y
equine|equid|Y
equine|horse|Y
equid|horse|Y
porcine|pig|Y
murine|mouse|Y
epithelial|epithelioma|N
articular|arterial|N
peptidase|protease|Y
peptidase|proteinase|Y
proteinase|protease|Y
leukemia|lymphoma|N
synthetase|synthase|Y
restriction endonuclease|restriction enzyme|Y
restrictase|restriction enzyme|Y
restriction endonuclease|restrictase|Y
coenzyme A|CoA|Y
anilide|anisole|N
aniline|anisole|N
aniline|anilide|N
aniline|amine|N
aniline|ammonium|N
amine|ammonium|N
aluminium|aluminum|Y
ethylene|ethene|Y
steroid|sterone|Y
hyperglycinemia|hyperglycemia|N
glucose|galactose|N
analysis|analyzer|N
analysis|analyser|N
neural|neuronal|Y
male|man|Y
female|woman|Y
osmolality|osmolarity|N
inter|intra|N
ethyl|ethanol|N
mono|di|N
mono|tri|N
mono|tetra|N
di|tri|N
di|tetra|N
tri|tetra|N
angiography|arteriography|Y
hypo|hyper|N
mortality|morbidity|N
positive|negative|N
mean|median|N
medial|median|N
supra|sub|N
gene|protein|N
endo|epi|N
